,EU,US
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,2,0
2020-02-22,3,0
2020-02-23,4,0
2020-02-24,8,0
2020-02-25,11,0
2020-02-26,14,0
2020-02-27,19,0
2020-02-28,23,0
2020-02-29,31,1
2020-03-01,36,1
2020-03-02,55,6
2020-03-03,84,7
2020-03-04,113,11
2020-03-05,157,12
2020-03-06,212,14
2020-03-07,255,17
2020-03-08,405,21
2020-03-09,515,22
2020-03-10,705,28
2020-03-11,944,36
2020-03-12,947,40
2020-03-13,1505,47
2020-03-14,1768,54
2020-03-15,2244,63
2020-03-16,2721,85
2020-03-17,3293,108
2020-03-18,3888,118
2020-03-19,4670,200
2020-03-20,5799,244
2020-03-21,7143,307
2020-03-22,8387,417
2020-03-23,9829,557
2020-03-24,11494,706
2020-03-25,13496,942
2020-03-26,15561,1209
2020-03-27,17894,1581
2020-03-28,20288,2026
2020-03-29,22560,2467
2020-03-30,25132,2978
2020-03-31,27863,3873
2020-04-01,30971,4757
2020-04-02,34407,5926
2020-04-03,37795,7087
2020-04-04,40898,8407
2020-04-05,43225,9619
2020-04-06,46113,10783
2020-04-07,49990,12722
2020-04-08,52801,14695
2020-04-09,56384,16478
2020-04-10,59577,18586
2020-04-11,61986,20462
2020-04-12,64399,22019
2020-04-13,66821,23528
2020-04-14,69270,25831
2020-04-15,73268,28325
2020-04-16,76304,32916
