,Spain,France,Italy,Germany,Austria,Hungary,United Kingdom
2020-01-22,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0
2020-01-24,0,2,0,0,0,0,0
2020-01-25,0,3,0,0,0,0,0
2020-01-26,0,3,0,0,0,0,0
2020-01-27,0,3,0,1,0,0,0
2020-01-28,0,4,0,4,0,0,0
2020-01-29,0,5,0,4,0,0,0
2020-01-30,0,5,0,4,0,0,0
2020-01-31,0,5,2,5,0,0,2
2020-02-01,1,6,2,8,0,0,2
2020-02-02,1,6,2,10,0,0,2
2020-02-03,1,6,2,12,0,0,8
2020-02-04,1,6,2,12,0,0,8
2020-02-05,1,6,2,12,0,0,9
2020-02-06,1,6,2,12,0,0,9
2020-02-07,1,6,3,13,0,0,9
2020-02-08,1,11,3,13,0,0,13
2020-02-09,2,11,3,14,0,0,14
2020-02-10,2,11,3,14,0,0,14
2020-02-11,2,11,3,16,0,0,15
2020-02-12,2,11,3,16,0,0,16
2020-02-13,2,11,3,16,0,0,17
2020-02-14,2,11,3,16,0,0,18
2020-02-15,2,12,3,16,0,0,18
2020-02-16,2,12,3,16,0,0,18
2020-02-17,2,12,3,16,0,0,19
2020-02-18,2,12,3,16,0,0,19
2020-02-19,2,12,3,16,0,0,20
2020-02-20,2,12,3,16,0,0,22
2020-02-21,2,12,20,16,0,0,23
2020-02-22,2,12,62,16,0,0,23
2020-02-23,2,12,155,16,0,0,28
2020-02-24,2,12,229,16,0,0,30
2020-02-25,6,14,322,17,2,0,34
2020-02-26,13,18,453,27,2,0,37
2020-02-27,15,38,655,46,3,0,44
2020-02-28,32,57,888,48,3,0,56
2020-02-29,45,100,1128,79,9,0,61
2020-03-01,84,130,1694,130,14,0,94
2020-03-02,120,191,2036,159,18,0,134
2020-03-03,165,204,2502,196,21,0,189
2020-03-04,222,285,3089,262,29,2,245
2020-03-05,259,377,3858,482,41,2,294
2020-03-06,400,653,4636,670,55,2,373
2020-03-07,500,949,5883,799,79,4,428
2020-03-08,673,1126,7375,1040,104,7,482
2020-03-09,1073,1209,9172,1176,131,9,629
2020-03-10,1695,1784,10149,1457,182,9,887
2020-03-11,2277,2281,12462,1908,246,13,1298
2020-03-12,2277,2281,15113,2078,302,13,1787
2020-03-13,5232,3661,17660,3675,504,19,2266
2020-03-14,6391,4469,21157,4585,655,30,2630
2020-03-15,7798,4499,24747,5795,860,32,3072
2020-03-16,9942,6633,27980,7272,1018,39,3684
2020-03-17,11748,7652,31506,9257,1332,50,4452
2020-03-18,13910,9043,35713,12327,1646,58,5451
2020-03-19,17963,10871,41035,15320,2013,73,6506
2020-03-20,20410,12612,47021,19848,2388,85,7760
2020-03-21,25374,14282,53578,22213,2814,103,8957
2020-03-22,28768,16018,59138,24873,3582,131,10333
2020-03-23,35136,19856,63927,29056,4474,167,12668
