,Spain,France,Italy,Germany,Austria,Hungary,United Kingdom
2020-01-22,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0
2020-01-24,0,2,0,0,0,0,0
2020-01-25,0,3,0,0,0,0,0
2020-01-26,0,3,0,0,0,0,0
2020-01-27,0,3,0,1,0,0,0
2020-01-28,0,4,0,4,0,0,0
2020-01-29,0,5,0,4,0,0,0
2020-01-30,0,5,0,4,0,0,0
2020-01-31,0,5,2,5,0,0,2
2020-02-01,1,6,2,8,0,0,2
2020-02-02,1,6,2,10,0,0,2
2020-02-03,1,6,2,12,0,0,8
2020-02-04,1,6,2,12,0,0,8
2020-02-05,1,6,2,12,0,0,9
2020-02-06,1,6,2,12,0,0,9
2020-02-07,1,6,3,13,0,0,9
2020-02-08,1,11,3,13,0,0,13
2020-02-09,2,11,3,14,0,0,14
2020-02-10,2,11,3,14,0,0,14
2020-02-11,2,11,3,16,0,0,15
2020-02-12,2,9,3,16,0,0,15
2020-02-13,2,9,3,15,0,0,16
2020-02-14,2,9,3,15,0,0,17
2020-02-15,0,8,3,15,0,0,17
2020-02-16,0,8,3,15,0,0,10
2020-02-17,0,8,3,15,0,0,11
2020-02-18,0,8,3,4,0,0,11
2020-02-19,0,8,3,4,0,0,12
2020-02-20,0,8,3,4,0,0,14
2020-02-21,0,8,20,2,0,0,15
2020-02-22,0,8,61,2,0,0,15
2020-02-23,0,8,153,2,0,0,20
2020-02-24,0,8,228,2,0,0,22
2020-02-25,4,3,321,3,2,0,26
2020-02-26,11,7,450,12,2,0,29
2020-02-27,13,27,610,30,3,0,36
2020-02-28,30,46,842,32,3,0,48
2020-02-29,43,88,1082,63,9,0,53
2020-03-01,82,118,1611,114,14,0,86
2020-03-02,118,179,1887,143,18,0,126
2020-03-03,163,192,2342,180,21,0,181
2020-03-04,220,273,2813,246,29,2,237
2020-03-05,257,365,3444,466,41,2,286
2020-03-06,398,641,4113,653,55,2,365
2020-03-07,470,937,5294,781,79,4,410
2020-03-08,643,1114,6753,1022,104,7,464
2020-03-09,1041,1197,8448,1158,129,9,611
2020-03-10,1663,1772,9425,1439,178,9,869
2020-03-11,2094,2269,11417,1883,242,13,1280
2020-03-12,2094,2269,14068,2053,298,13,1769
2020-03-13,5039,3649,16221,3629,498,19,2248
2020-03-14,5874,4457,19191,4539,649,29,2612
2020-03-15,7281,4487,22412,5749,854,31,3054
2020-03-16,9412,6621,25231,7205,1012,38,3664
2020-03-17,10720,7640,28565,9190,1331,48,4400
2020-03-18,12829,9031,31688,12222,1637,56,5386
2020-03-19,16856,10859,36595,15207,2004,71,6441
2020-03-20,18822,12600,42581,19668,2379,83,7695
2020-03-21,23249,14270,47506,21980,2805,96,8892
2020-03-22,26193,13818,52114,24607,3573,115,10268
2020-03-23,32561,17656,56903,28790,4465,151,12603
